n	pca1	pca2
1074	99.8287	0.171333
1075	99.6663	0.333704
1076	99.9404	0.0596327
1077	99.9518	0.0482289
1078	99.9395	0.0604681
1079	99.8318	0.168203
1080	99.9442	0.0557635
1081	99.903	0.0970347
1082	99.921	0.07896
1083	99.9214	0.0785899
1084	99.6075	0.39248
1085	99.9003	0.0997317
1086	99.9396	0.0604267
1087	99.864	0.136048
1088	99.9137	0.0862844
1089	99.9654	0.0345653
1090	99.9461	0.0539447
1091	99.9312	0.0687913
1092	99.7148	0.285239
1093	99.9016	0.098406
1094	99.2082	0.791752
1095	99.4773	0.522749
1096	99.7361	0.263868
1097	99.8808	0.119173
1098	99.7706	0.229407
1099	99.864	0.136006
1100	99.8862	0.113817
1101	99.5758	0.424246
1102	99.2499	0.750148
1103	99.665	0.33504
1104	99.4838	0.516222
1105	99.8369	0.163119
1106	99.2357	0.764257
1107	99.8959	0.104111
1108	99.8931	0.106852
1109	99.8753	0.124697
1110	99.797	0.203039
1111	99.5772	0.422825
1112	99.7428	0.257164
1113	99.6477	0.35226
1114	99.1088	0.891223
1115	98.3425	1.65747
1116	99.1102	0.889844
1117	99.0149	0.98509
1118	99.2148	0.785153
1119	99.437	0.562983
1120	98.4894	1.51062
1121	99.2052	0.794798
1122	99.3212	0.67876
1123	99.7193	0.280687
1124	99.7489	0.251106
1125	99.7284	0.271575
1126	99.5821	0.417935
1127	98.7374	1.26256
1128	99.2669	0.733098
1129	98.9888	1.01124
1130	98.9926	1.00739
1131	98.5449	1.45513
1132	98.1133	1.88674
1133	98.1328	1.8672
1134	97.7057	2.29433
1135	99.9671	0.0328512
1136	99.0979	0.90211
1137	99.6675	0.332497
1138	99.9081	0.0918731
1139	99.4459	0.554129
1140	99.8661	0.133853
1141	99.7212	0.278791
